Title,Company,Salary,Description,city,url
Software Developer,Oasis Infotech,,"Your expertise will ensure the stable, fast, and secure exchange of data between servers and end-users. Develop and maintain server-side components.","Vesu, Surat, Gujarat",https://in.indeed.com/rc/clk?jk=e784d66cc3c0f0ad&bb=2bbzlzfsMNtO-uF4r13pkeJk-Y2mQCzkfHixBAxEi6V6I5SRimSrTZgBvv-thXKT4YodwAW2dgCeQ4_m-bjc81rvK_xqVlEX5MkcfIGpbJl5GjCQqzJANeguUUBn2UAw&xkcb=SoDx67M3_GRQ_MxGs50PbzkdCdPP&fccid=159336e2eb88f04a&cmp=Oasis-Infotech&ti=Software+Engineer&vjs=3
Data Scientist,ABB,,"In this role, you will have the opportunity to support the strategic technology direction by contributing your own ideas for identifying, proposing, and…","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=b01bedbfe699e42e&bb=2bbzlzfsMNtO-uF4r13pkdb4KS6u2n3-J57Ic5gyAGVA3p2mgA3QV9K-ALRwAFFxISnBeO8BcCQBe9Wz2_A0h2-PQbnTpMXPVz6PE0-wjQO_1d2S8PNLtg%3D%3D&xkcb=SoBF67M3_GRQ_MxGs50ObzkdCdPP&fccid=38b4474838e7b7a1&vjs=3
IT Project Manager,Ynaps,,YNAPS is a software development + Consultant company seeking to engage an experienced PHP/Bootstrap Web Developer for our projects.,Remote,https://in.indeed.com/rc/clk?jk=49912e1dd6d0b637&bb=2bbzlzfsMNtO-uF4r13pkd88oo4xqQbuJgAp-Sb4i5aPHE9GVTXTmIA4Ap6p-Y8dZ5Vo-SxL-Jv3w3DFl1WsIHBsPfSuujBikRg5ou75O3gH7RVcWNseYXUO2hz0jHf9&xkcb=SoDY67M3_GRQ_MxGs50NbzkdCdPP&fccid=52667627e9d30499&cmp=Ynaps&ti=IT+Project+Manager&vjs=3
Systems Operations Analyst.,FIS Global,,Performs monitoring and operational management functions for associated hardware and software within 24x7 processing environment.,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=255052861ba3e6fd&bb=2bbzlzfsMNtO-uF4r13pkc-N_XOakFS1zyAOzQhsP_bVk4lmua79IhQoTuk4QEtqGFu40U_BjCz68AAe913DWjomUtP63cOKW-au8FqQ2MBGlZxpi5Apro3ZoDIA3ZaP&xkcb=SoBs67M3_GRQ_MxGs50MbzkdCdPP&fccid=74e36d81c894b4b7&vjs=3
System Testing_EVS_ADAS,Bosch Group,,"Job DescriptionExperience in Embedded domain preferably ADAS. Programing skills, Python/Object oriented programming.","Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=be76e2f8eec9fe3f&bb=2bbzlzfsMNtO-uF4r13pka4kVinjmT9Fsr2C4c9PX6-rEXYP4qIdTmHWEZRbBRHFpZyXVwojWBHEe6lJiYlPn_O-jKAKOx0GH2brigIUJMqZSJyQo2o1mh-nqvCa_RdK&xkcb=SoCF67M3_GRQ_MxGs50DbzkdCdPP&fccid=a2faf1301ac6ad4b&vjs=3
Software Engineer,Metron Labs,,You have developed software using web technologies. Metron Security provides automation and integration services to leading Cyber Security companies.,"Pune, Maharashtra",https://in.indeed.com/rc/clk?jk=18f06d8632aac893&bb=2bbzlzfsMNtO-uF4r13pkQDO-M4VHu5OOegYNnAZFQ8_ZLR7cP2y2_uHZFxs0cjjfCg6HT2Z6GTfaRxeblv69PzimHi4p_MP8A3XY5xubam5XK58hwTZtcQoXHlKmcwP&xkcb=SoAx67M3_GRQ_MxGs50CbzkdCdPP&fccid=3df4ada4ec302931&vjs=3
IT Project Coordinator,Net creative Mind,,Liaising with development and testing teams during all stages of software development lifecycle to provide necessary support in understanding requirements.,"Delhi, Delhi",https://in.indeed.com/rc/clk?jk=12b3b7ba5f17792c&bb=2bbzlzfsMNtO-uF4r13pke8-aSbmJqizjlWlob0r3ZhFg-54AgjFYtVVydXInN0KJPhW_IXsc_V3DIDNzFpQKEXSZaLoK1NCLuVSvWVf6zrHHxTqmx3_tfSfBJ-cwJH2&xkcb=SoCs67M3_GRQ_MxGs50BbzkdCdPP&fccid=ccce22ef83c31ff9&cmp=Web-Tech-Aruba&ti=IT+Project+Manager&vjs=3
Software Development Engineer,Egaltrans,,Think and grow with us.,Remote,https://in.indeed.com/rc/clk?jk=53c374d69ae96ea8&bb=2bbzlzfsMNtO-uF4r13pkeGxHABZwjP5C-QR-c9cBPr358NLBNGMHgMr-Ypz6aiHCv6U-2SB8DT32GlG-oEQoAY8kwK8SoDbjU6GhYU_Wqsn3xuMQ6AQwmZ8j9bCEG2n&xkcb=SoAY67M3_GRQ_MxGs50AbzkdCdPP&fccid=d1e5dbb6d2586e70&vjs=3
Software Development Intern,Warlock Technologies,,Mentorship and guidance from experienced software developers. Strong interest in software development and technology. Lead the entire sales cycle.,"Gandhinagar, Gujarat",https://in.indeed.com/rc/clk?jk=93b56eff7423240f&bb=2bbzlzfsMNtO-uF4r13pkXmpTloGV3pXYOczwGnYXY59vePWbCBZ5GMXUy_cGtm5y2kgI3ElXjGPuqihzfkiQPTSPlygMIVGAdLgmH2Lcoef1Ga0ijWRMkHRZcEqyxc5&xkcb=SoCW67M3_GRQ_MxGs50HbzkdCdPP&fccid=acff1adc3dd9ab64&vjs=3
BOS-Appian developer - Associate,PwC,,Invite and give in the moment feedback in a constructive manner. Share and collaborate effectively with others. Minimum Degree Required: Bachelors Degree.,"Bengaluru, Karnataka",https://in.indeed.com/rc/clk?jk=521c7158a63b81cc&bb=2bbzlzfsMNtO-uF4r13pkcLFZv1ymLSv1IbCYEFPOdd4qhJ5SN4fEWA35AJyC0MOP_ubXZ_YT9533nhG2Jim9NbT1EwgMftkmrgqDpPYI4-Wu882QrK-o3TtMvw8eKxN&xkcb=SoAi67M3_GRQ_MxGs50GbzkdCdPP&fccid=5e964c4afc56b180&vjs=3
